species_traits_all,level,Class,Order,Family,Genus_1,Species_Species,DemersPelag,EnvTemp,DepthRangeDeep,trophic_level,Feeding_path,LMax,BodyShapeI,K,tm,DemersPelagLevel,EnvTempLevel,DepthRangeDeepLevel,trophic_levelLevel,Feeding_pathLevel,LMaxLevel,BodyShapeILevel,KLevel,tmLevel,
Bassanago_albescens,species,Actinopterygii,Anguilliformes,Congridae,Bassanago,albescens,pelagic_oceanic,polar_deep,1700,3.9,benthic,100,elongate,0.150000006,4.1,species,species,species,species,species,species,species,species,species,
Bathylagus_antarcticus,species,Actinopterygii ,Osmeriformes,Bathylagidae,Bathylagus,antarcticus,pelagic_oceanic,polar_deep,4000,3.12,benthic,14,elongate,0.17,4.7,species,species,species,species,species,species,species,species,species,
Bathyraja_eatonii,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,eatonii,demersal,polar_deep,1373.978723,3.913333333,benthic,100,flat,0.090000004,6.8,species,species,genus,genus,species,species,species,species,species,
Bathyraja_irrasa,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,irrasa,pelagic_oceanic,polar_deep,1218,3.913333333,benthic,120,flat,0.079999998,7.5,species,species,species,genus,species,species,species,species,species,
Bathyraja_murrayi,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,murrayi,demersal,polar_deep,800,3.913333333,benthic,60,flat,0.140000001,4.7,species,species,species,genus,species,species,species,species,species,
Benthosema_pterotum,species,Actinopterygii,Myctophiformes,Myctophidae,Benthosema,pterotum,pelagic_oceanic,polar_deep,300,3.1,pelagic,7,fusiform,1.809999943,0.5,species,species,species,species,species,species,species,species,species,
Boreogadus_saida,species,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,demersal,polar_deep,400,3.1,pelagic,40,elongate,0.224000007,3.289049,species,species,species,species,species,species,species,species,species,
Borostomias_antarcticus,species,Actinopterygii,Stomiiformes,Stomiidae,Borostomias,antarcticus,demersal,polar_deep,2630,3.6,pelagic,30,elongate,0.3,2.4,species,species,species,species,species,species,species,species,species,
Brama_brama,species,Actinopterygii,Perciformes,Bramidae,Brama,brama,pelagic_oceanic,polar_deep,1000,4.1,pelagic,100,short_deep,0.083999999,8.116818,species,species,species,species,species,species,species,species,species,
Centrolophus_niger,species,Actinopterygii,Perciformes,Centrolophidae,Centrolophus,niger,pelagic_oceanic,polar_deep,1050,3.9,pelagic,150,fusiform,0.079999998,7.3,species,species,species,species,species,species,species,species,species,
Centrophorus_squamosus,species,Elasmobranchii,Squaliformes,Centrophoridae,Centrophorus,squamosus,pelagic_oceanic,polar_deep,2400,4.47,benthic,164,elongate,0.04,14.6,species,species,species,species,species,species,species,species,species,
Centroscyllium_fabricii,species,Elasmobranchii,Squaliformes,Etmopteridae,Centroscyllium,fabricii,pelagic_oceanic,polar_deep,1600,3.84,benthic,107,elongate,0.05,12.7,species,species,species,species,species,species,species,family,family,
Centroscymnus_coelolepis,species,Elasmobranchii,Squaliformes,Somniosidae,Centroscymnus,coelolepis,pelagic_oceanic,polar_deep,3700,4.48,benthic,120,elongate,0.05,12.2,species,species,species,species,species,species,species,species,species,
Chaenocephalus_aceratus,species,Actinopterygii,Perciformes,Channichthyidae,Chaenocephalus,aceratus,demersal,polar_deep,770,3.4,pelagic,72,elongate,0.200000003,3.2,species,species,species,species,species,species,species,species,species,
Champsocephalus_gunnari,species,Actinopterygii,Perciformes,Channichthyidae,Champsocephalus,gunnari,pelagic_oceanic,polar_deep,700,3.2,pelagic,66,elongate,0.393999994,1.798759,species,species,species,species,species,species,species,species,species,
Channichthyidae,higher,Actinopterygii,Perciformes,Channichthyidae,NA,NA,demersal,polar_deep,596.3913043,3.628571429,pelagic,42.50454547,elongate,0.415079994,2.3938676,family,family,family,family,NA,family,family,family,family,
Channichthys_rhinoceratus,species,Actinopterygii,Perciformes,Channichthyidae,Channichthys,rhinoceratus,demersal,polar_deep,750,3.2,pelagic,60,elongate,0.25999999,2.5,species,species,species,species,species,species,species,species,species,
Chimaera_monstrosa,species,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,monstrosa,pelagic_oceanic,polar_deep,1400,3.5,benthic,150,elongate,0.067000002,8.924349,species,species,species,species,species,species,species,species,species,
Chionobathyscus_dewitti,species,Actinopterygii,Perciformes,Channichthyidae,Chionobathyscus,dewitti,pelagic_oceanic,polar_deep,2000,3.8,pelagic,60,elongate,0.219999999,3,species,species,species,species,species,species,species,species,species,
Chionodraco_rastrospinosus,species,Actinopterygii,Perciformes,Channichthyidae,Chionodraco,rastrospinosus,demersal,polar_deep,1000,3.8,pelagic,52,elongate,0.25,2.7,species,species,species,species,species,species,species,species,species,
Coelorinchus_fasciatus,species,Actinopterygii,Gadiformes,Macrouridae,Coelorinchus,fasciatus,pelagic_oceanic,polar_deep,1086,3.9,benthic,50,elongate,0.159999996,4.2,species,species,species,species,species,species,species,species,species,
Coregonus_autumnalis,species,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,autumnalis,pelagic_neritic,polar_deep,110.8823529,3.7,benthic,65,fusiform,0.219999999,3.082266,species,species,genus,species,species,species,species,species,species,
Coregonus_laurettae,species,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,laurettae,pelagic_neritic,polar_deep,110.8823529,3.8,benthic,36,fusiform,0.189999998,3.7,species,species,genus,species,species,species,species,species,species,
Coregonus_muksun,species,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,muksun,demersal,polar_deep,110.8823529,3.441666667,pelagic,90,fusiform,0.140000001,4.610927,species,species,genus,genus,species,species,species,species,species,
Coregonus_nasus,species,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,nasus,pelagic_neritic,polar_deep,110.8823529,3.4,benthic,71,fusiform,0.104999997,6.400879,species,species,genus,species,species,species,species,species,species,
Coregonus_pidschian,species,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,pidschian,demersal,polar_deep,110.8823529,3.3,benthic,50,fusiform,0.109999999,5.988164,species,species,genus,species,species,species,species,species,species,
Coregonus_sardinella,species,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,sardinella,pelagic_neritic,polar_deep,110.8823529,3.2,benthic,47,fusiform,0.280000001,2.542376,species,species,genus,species,species,species,species,species,species,
Coryphaenoides_rupestris,species,Actinopterygii,Gadiformes,Macrouridae,Coryphaenoides,rupestris,pelagic_oceanic,polar_deep,2600,3.5,pelagic,110,elongate,0.101000004,6.247791,species,species,species,species,species,species,species,species,species,
Cottunculus_granulosus,species,Actinopterygii,Scorpaeniformes,Psychrolutidae,Cottunculus,granulosus,pelagic_oceanic,polar_deep,1250,4.14,benthic,21.66,elongate,0.200000003,3.7,species,species,species,genus,species,species,species,species,species,
Cyclopterus_lumpus,species,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,lumpus,demersal,polar_deep,868,3.9,benthic,61,short_deep,0.254999995,2.704648,species,species,species,species,species,species,species,species,species,
Deania_calcea,species,Elasmobranchii,Squaliformes,Centrophoridae,Deania,calcea,pelagic_oceanic,polar_deep,1490,4.33,pelagic,122,elongate,0.13,4.8,species,species,species,species,species,species,species,species,species,
Diaphus_suborbitalis,species,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,suborbitalis,pelagic_oceanic,polar_deep,1537,3.285714286,pelagic,7.3,elongate,1.39,0.7,species,species,species,genus,species,species,species,species,species,
Dissostichus_mawsoni,species,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,mawsoni,pelagic_oceanic,polar_deep,2200,3.9,pelagic,200,fusiform,0.093000002,6.43049,species,species,species,species,species,species,species,species,species,
Electrona_antarctica,species,Actinopterygii,Myctophiformes,Myctophidae,Electrona,antarctica,demersal,polar_deep,917.5,3.2,pelagic,8.199999809,fusiform,0.170000002,4.805712,species,species,genus,species,species,species,species,species,species,
Electrona_carlsbergi,species,Actinopterygii,Myctophiformes,Myctophidae,Electrona,carlsbergi,pelagic_oceanic,polar_deep,350,3.2,pelagic,9,elongate,0.550000012,1.571342,species,species,species,species,species,species,species,species,species,
Eleginus_gracilis,species,Actinopterygii,Gadiformes,Gadidae,Eleginus,gracilis,demersal,polar_deep,300,4.1,benthic,55,fusiform,0.180000007,3.730407,species,species,species,species,species,species,species,species,species,
Eleginus_nawaga,species,Actinopterygii,Gadiformes,Gadidae,Eleginus,nawaga,demersal,polar_deep,300,4.2,benthic,42,fusiform,0.18,3.9,species,species,genus,species,species,species,species,species,species,
Epigonus_telescopus,species,Actinopterygii,Perciformes,Epigonidae,Epigonus,telescopus,pelagic_oceanic,polar_deep,1200,3.6,benthic,75,fusiform,0.037999999,15.76076,species,species,species,species,species,species,species,species,species,
Etelis,higher,Actinopterygii,Perciformes,Lutjanidae,Etelis,NA,pelagic_oceanic,polar_deep,402.5,4.4,benthic,106.75,fusiform,0.36250001,2.049042,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Etelis_coruscans,species,Actinopterygii,Perciformes,Lutjanidae,Etelis,coruscans,reef_associated,polar_deep,400,4.4,benthic,120,fusiform,0.270000011,2.38875,species,species,species,species,species,species,species,species,species,
Etelis_oculatus,species,Actinopterygii,Perciformes,Lutjanidae,Etelis,oculatus,pelagic_oceanic,polar_deep,450,4.2,benthic,100,fusiform,0.610000014,1.014555,species,species,species,species,NA,species,species,species,species,
Etmopterus,higher,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,NA,pelagic_oceanic,polar_deep,997.7352941,4.226428571,benthic,41.49545447,elongate,0.05,12.7,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Etmopterus_princeps,species,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,princeps,pelagic_oceanic,polar_deep,2213,4.17,benthic,75,elongate,0.05,12.7,species,species,species,species,species,species,species,genus,genus,
Gadiformes,order,Actinopterygii,Gadiformes,NA,NA,NA,pelagic_oceanic,polar_deep,1039.550387,3.961116475,benthic,90.0772098,elongate,0.196903252,4.191457115,order,order,order,order,order,order,order,order,order,
Gadus_ogac,species,Actinopterygii,Gadiformes,Gadidae,Gadus,ogac,demersal,polar_deep,200,3.8,benthic,77,fusiform,0.16,4.1,species,species,species,species,species,species,species,species,species,
Galeus_melastomus,species,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Galeus,melastomus,demersal,polar_deep,1873,4.2,benthic,75,elongate,0.140000001,4.5,species,species,species,species,species,species,species,species,species,
Gempylidae,higher,Actinopterygii,Perciformes,Gempylidae,NA,NA,demersal,polar_deep,763.5833333,4.194444444,pelagic,83.01666665,elongate,0.326124995,2.883843333,family,family,family,family,NA,family,family,family,family,
Genypterus_blacodes,species,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,blacodes,pelagic_oceanic,polar_deep,1000,4.2,benthic,200,elongate,0.086999997,6.462686,species,species,species,species,species,species,species,species,species,
Genypterus_capensis,species,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,capensis,pelagic_oceanic,polar_deep,500,4.4,pelagic,180,elongate,0.108000003,5.344036,species,species,species,species,species,species,species,species,species,
Gobionotothen_acuta,species,Actinopterygii,Perciformes,Nototheniidae,Gobionotothen,acuta,demersal,polar_deep,300,3.25,benthic,35,fusiform,0.180000007,3.9,species,species,species,genus,species,species,species,species,species,
Gobionotothen_gibberifrons,species,Actinopterygii,Perciformes,Nototheniidae,Gobionotothen,gibberifrons,demersal,polar_deep,429,3.3,benthic,55,fusiform,0.07,9.7,species,species,species,species,species,species,species,species,species,
Gymnoscopelus_braueri,species,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,braueri,pelagic_oceanic,polar_deep,2700,3.2,pelagic,13.19999981,elongate,0.330000013,2.4,species,species,species,species,species,species,species,species,species,
Gymnoscopelus_nicholsi,species,Actinopterygii, Myctophiformes,Myctophidae ,Gymnoscopelus,nicholsi,pelagic_oceanic,polar_deep,1816.666667,3.3,pelagic,15.32500017,elongate,0.308750007,2.7625,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Helicolenus_dactylopterus,species,Actinopterygii,Scorpaeniformes,Sebastidae,Helicolenus,dactylopterus,pelagic_oceanic,polar_deep,1100,3.5,benthic,47,fusiform,0.159999996,4.506036,species,species,species,species,species,species,species,species,species,
Hoplostethus_atlanticus,species,Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,atlanticus,pelagic_oceanic,polar_deep,1809,4.2,pelagic,75,short_deep,0.059999999,11.53866,species,species,species,species,species,species,species,species,species,
Hydrolagus_affinis,species,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,affinis,pelagic_oceanic,polar_deep,3000,4,benthic,130,elongate,0.14,4.2,species,species,species,species,species,species,species,species,species,
Hyperoglyphe_antarctica,species,Actinopterygii,Perciformes,Centrolophidae,Hyperoglyphe,antarctica,demersal,polar_deep,1500,4,benthic,140,fusiform,0.307999998,1.987177,species,species,species,species,species,species,species,species,species,
Laemonema_longipes,species,Actinopterygii,Perciformes,Gadiformes , Moridae,longipes,demersal,polar_deep,1830,3.2,pelagic,72,elongate,0.15,4.3,species,species,species,species,species,species,species,species,species,
Lampris,Higher,Actinopterygii,Perciformes,Lampridae,Lampris,NA,pelagic_oceanic,polar_deep,500,4.2,pelagic,200,short_deep,0.217999995,2.744573,genus,genus,genus,genus,genus,genus,genus,genus,genus,
Lampris_guttatus,species,Actinopterygii,Lampriformes,Lampridae,Lampris,guttatus,pelagic_oceanic,polar_deep,500,4.2,pelagic,200,short_deep,0.217999995,2.744573,species,species,species,species,species,species,species,species,species,
Lepidocybium_flavobrunneum,species,Actinopterygii,Perciformes,Gempylidae,Lepidocybium,flavobrunneum,demersal,polar_deep,1100,4.3,benthic,200,fusiform,0.079999998,7,species,species,species,species,species,species,species,species,species,
Lepidonotothen_mizops,species,Actinopterygii,Perciformes,Nototheniidae,Lindbergichthys,mizops,demersal,polar_deep,220,3.3,benthic,15,fusiform,0.36,2.2,species,species,species,species,species,species,species,species,species,
Lepidonotothen_nudifrons,species,Actinopterygii,Perciformes,Nototheniidae,Lindbergichthys,nudifrons,demersal,polar_deep,400,3.5,benthic,19.5,fusiform,0.29,2.6,species,species,species,species,species,species,species,species,species,
Lepidopus_caudatus,species,Actinopterygii,Perciformes,Trichiuridae,Lepidopus,caudatus,demersal,polar_deep,620,3.8,benthic,210,elongate,0.310000002,1.86367,species,species,species,species,species,species,species,species,species,
Lepidorhombus_whiffiagonis,species,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,whiffiagonis,pelagic_oceanic,polar_deep,700,4.3,benthic,55,flat,0.119999997,5.479939,species,species,species,species,species,species,species,species,species,
Lepidorhynchus_denticulatus,species,Actinopterygii,Gadiformes,Macrouridae,Lepidorhynchus,denticulatus,pelagic_oceanic,polar_deep,1000,3.8,benthic,55,elongate,0.150000006,4.4,species,species,species,species,species,species,species,species,species,
Lophiidae,higher,Actinopterygii,Lophiiformes,Lophiidae,NA,NA,pelagic_oceanic,polar_deep,753.3703704,4.321428571,benthic,50.41357149,short_deep,0.330535715,2.898641,family,family,family,family,NA,family,family,family,family,
Lophius,higher,Actinopterygii,Lophiiformes,Lophiidae,Lophius,NA,pelagic_oceanic,polar_deep,753.2857143,4.414285714,benthic,111.4285714,short_deep,0.135000001,5.051706857,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Lophius_budegassa,species,Actinopterygii,Lophiiformes,Lophiidae,Lophius,budegassa,pelagic_oceanic,polar_deep,1013,4.4,benthic,240.67,short_deep,0.100000001,6.264286,species,species,species,species,species,species,species,species,species,
Lophius_piscatorius,species,Actinopterygii,Lophiiformes,Lophiidae,Lophius,piscatorius,pelagic_oceanic,polar_deep,1000,4.4,benthic,200,short_deep,0.109999999,5.406501,species,species,species,species,species,species,species,species,species,
Lophius_vomerinus,species,Actinopterygii,Lophiiformes,Lophiidae,Lophius,vomerinus,pelagic_oceanic,polar_deep,400,4.5,pelagic,100,short_deep,0.140000001,4.577619,species,species,species,species,species,species,species,species,species,
Macrouridae,higher,Actinopterygii,Gadiformes,Macrouridae,NA,NA,pelagic_oceanic,polar_deep,1298.350923,3.621126761,pelagic,39.72527274,elongate,0.245457711,3.895985905,family,family,family,family,NA,family,family,family,family,
Macrourus,higher,Actinopterygii,Gadiformes,Macrouridae,Macrourus,NA,pelagic_oceanic,polar_deep,1696.25,3.6,benthic,84.78000031,elongate,0.1378,6.880384,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Macrourus_carinatus,species,Actinopterygii,Gadiformes,Macrouridae,Macrourus,carinatus,pelagic_oceanic,polar_deep,1200,3.6,benthic,100,elongate,0.29,2.1,species,species,species,genus,species,species,species,species,species,
Macrourus_whitsoni,species,Actinopterygii,Gadiformes,Macrouridae,Macrourus,whitsoni,pelagic_oceanic,polar_deep,3185,3.5,pelagic,75,elongate,0.109999999,5.8,species,species,species,species,species,species,species,species,species,
Mallotus_villosus,species,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,pelagic_oceanic,polar_deep,725,3.2,pelagic,20,elongate,0.453999996,1.727853,species,species,species,species,species,species,species,species,species,
Maurolicus_muelleri,species,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus,muelleri,pelagic_oceanic,polar_deep,1524,3,pelagic,8,elongate,1.049999952,0.9431075,species,species,species,species,species,species,species,species,species,
Merluccius,higher,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,NA,pelagic_oceanic,polar_deep,716.3529412,4.309090909,pelagic,86.79999995,elongate,0.210488236,4.234055706,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Merluccius_capensis,species,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,capensis,pelagic_oceanic,polar_deep,1000,3.9,pelagic,140,elongate,0.088,6.514933,species,species,species,species,species,species,species,species,species,
Merluccius_gayi_gayi,Species,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,gayi gayi,pelagic_oceanic,polar_deep,500,4.26,pelagic,87,fusiform,0.12,5.1,species,species,species,species,species,species,species,species,species,
Merluccius_polli,species,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,polli,pelagic_oceanic,polar_deep,910,4.5,pelagic,80,elongate,0.393999994,1.688064,species,species,species,species,NA,species,species,species,species,
Mora_moro,species,Actinopterygii,Gadiformes,Moridae,Mora,moro,pelagic_oceanic,polar_deep,2500,3.75,benthic,80,fusiform,0.13,5,species,species,species,species,species,species,species,species,species,
Muraenolepis,higher,Actinopterygii,Gadiformes,Muraenolepididae,Muraenolepis,NA,demersal,polar_deep,1124.375,3.4,benthic,32.69999981,elongate,0.18,4.1,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Muraenolepis_microps,species,Actinopterygii,Gadiformes,Muraenolepididae,Muraenolepis,microps,pelagic_oceanic,polar_deep,1600,3.4,benthic,35,elongate,0.18,4.1,species,species,species,species,species,species,species,species,species,
Myctophidae,higher,Actinopterygii,Myctophiformes,Myctophidae,NA,NA,pelagic_oceanic,polar_deep,1174.783654,3.261728395,pelagic,9.221196186,elongate,0.646036291,1.90274288,family,family,family,family,NA,family,family,family,family,
Myoxocephalus_quadricornis,species,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,quadricornis,demersal,polar_deep,100,3.7,benthic,60,fusiform,0.17,4,species,species,species,species,species,species,species,species,species,
Myoxocephalus_scorpius,Species,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,demersal,polar_deep,451,3.89,benthic,60,fusiform,0.34,2,species,species,species,species,species,species,species,species,species,
Neopagetopsis_ionah,species,Actinopterygii,Perciformes,Channichthyidae,Neopagetopsis,ionah,demersal,polar_deep,900,3.4,pelagic,56,elongate,0.230000004,2.9,species,species,species,species,species,species,species,species,species,
Notoscopelus,higher,Actinopterygii,Myctophiformes,Myctophidae,Notoscopelus,NA,pelagic_oceanic,polar_deep,1095.833333,3.3,pelagic,11.98333343,elongate,0.42833333,2.343844333,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Notothenia_coriiceps,species,Actinopterygii,Perciformes,Nototheniidae,Notothenia,coriiceps,demersal,polar_deep,550,2.8,benthic,62,fusiform,0.128999993,5.215295,species,species,species,species,species,species,species,species,species,
Notothenia_neglecta,species,Actinopterygii,Perciformes,Nototheniidae,Notothenia,neglecta,demersal,polar_deep,95,3.3,benthic,76,fusiform,0.09,7.8,species,species,species,species,species,species,species,species,species,
Notothenia_rossii,species,Actinopterygii,Perciformes,Nototheniidae,Notothenia,rossii,demersal,polar_deep,350,3.6,pelagic,92,fusiform,0.107000001,5.573011,species,species,species,species,species,species,species,species,species,
Nototheniidae,higher,Actinopterygii,Perciformes,Nototheniidae,NA,NA,demersal,polar_deep,588.7804878,3.448275862,pelagic,41.2923256,fusiform,0.267859648,4.062585361,family,family,family,family,NA,family,family,family,family,
Ophidiidae,higher,Actinopterygii,Ophidiiformes,Ophidiidae,NA,NA,pelagic_oceanic,polar_deep,1470.088235,3.59375,benthic,35.32299496,elongate,0.490294575,2.165461496,family,family,family,family,NA,family,family,family,family,
Oreosomatidae,higher,Actinopterygii,Zeiformes,Oreosomatidae,NA,NA,pelagic_oceanic,polar_deep,1330.2,3.7,benthic,35.18000002,short_deep,0.0947,12.4647147,family,family,family,family,NA,family,family,family,family,
Pagothenia_borchgrevinki,species,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevinki,pelagic_oceanic,polar_deep,489.5,3.15,pelagic,22.60000038,fusiform,0.299999997,2.55,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Pentheroscion_mbizi,species,Actinopterygii,Perciformes,Sciaenidae,Pentheroscion,mbizi,demersal,polar_deep,350,3.645833333,benthic,56,elongate,0.310000002,2.1,species,species,species,family,NA,species,species,species,species,
Peristediidae,higher,Actinopterygii,Scorpaeniformes,Peristediidae,NA,NA,pelagic_oceanic,polar_deep,481.775,3.5,benthic,22.673,elongate,0.355227273,2.60399275,family,family,family,family,NA,family,family,family,family,
Platichthys_stellatus,species,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus,demersal,polar_deep,375,3.6,benthic,91,flat,0.192000002,3.546896,species,species,species,species,species,species,species,species,species,
Pleuragramma_antarctica,species,Actinopterygii,Perciformes,Nototheniidae,Pleuragramma,antarctica,pelagic_oceanic,polar_deep,728,3.2,pelagic,25,fusiform,0.136000007,5.24879,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Polyprion_americanus,species,Actinopterygii,Perciformes,Polyprionidae,Polyprion,americanus,demersal,polar_deep,600,4.1,benthic,210,fusiform,0.083999999,7.653793,species,species,species,species,species,species,species,species,species,
Pristipomoides_filamentosus,species,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,filamentosus,demersal,polar_deep,400,4.2,pelagic,100,fusiform,0.241999999,2.667905,species,species,species,species,species,species,species,species,species,
Pristipomoides_sieboldii,species,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,sieboldii,demersal,polar_deep,360,3.7,pelagic,79,fusiform,0.351000011,1.942955,species,species,species,species,species,species,species,species,species,
Pseudochaenichthys_georgianus,species,Actinopterygii,Perciformes,Channichthyidae,Pseudochaenichthys,georgianus,demersal,polar_deep,475,3.4,pelagic,60,fusiform,0.243000001,2.747931,species,species,species,species,species,species,species,species,species,
Raja_rhina,species,Elasmobranchii,Rajiformes,Rajidae,Raja,rhina,pelagic_oceanic,polar_deep,1069,3.811111111,benthic,180,flat,0.07,8.45021,species,species,species,genus,NA,species,species,species,species,
Rajidae,higher,Elasmobranchii,Rajiformes,Rajidae,NA,NA,pelagic_oceanic,polar_deep,708.3414634,3.839344262,benthic,74.51241371,flat,0.2354581,3.875721911,family,family,family,family,NA,family,family,family,family,
Reinhardtius_hippoglossoides,species,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,demersal,polar_deep,2000,4.4,benthic,50,flat,0.07,8.58332,species,species,species,species,species,species,species,species,species,
Rexea_solandri,Species,Actinopterygii,Perciformes,Gempylidae,Rexea,solandri,demersal,polar_deep,800,4.31,pelagic,110,elongate,0.17,3.6,species,species,species,species,species,species,species,species,species,
Scyliorhinus,higher,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,NA,demersal,polar_deep,498.8571429,4.085714286,benthic,65.23333333,elongate,0.218625001,3.531087063,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Sebastes_alutus,species,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,alutus,pelagic_oceanic,polar_deep,825,3.5,pelagic,53,fusiform,0.156000003,4.340211,species,species,species,species,species,species,species,species,species,
